Input.file,Event.Number,Species.Code,Call,Start.time,End.time,Parameter.1,Parameter.2,Parameter.3,Parameter.4,Parameter.5,Parameter.6,Comments,Image,Audio
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220929074441.wav,4/24/2023 14:33,Bm,A NE Pacific,9/29/2022 8:03:06,NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220929091441.wav,4/24/2023 14:33,Bm,A NE Pacific,9/29/2022 9:20:33,NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220929091441.wav,4/24/2023 14:33,Bm,B NE Pacific,9/29/2022 9:20:52,NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220929095941.wav,4/24/2023 14:34,Bm,B NE Pacific,9/29/2022 10:06:32,NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220929095941.wav,4/24/2023 14:34,Bm,A NE Pacific,9/29/2022 10:06:09,NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220929104441.wav,4/24/2023 14:34,Bm,A NE Pacific,9/29/2022 11:02:55,NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220929104441.wav,4/24/2023 14:34,Bm,B NE Pacific,9/29/2022 11:03:48,NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220929115211.wav,4/24/2023 14:35,Bm,B NE Pacific,9/29/2022 12:04:44,NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220929115211.wav,4/24/2023 14:35,Bm,A NE Pacific,9/29/2022 12:04:04,NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220929125941.wav,4/24/2023 14:37,Bm,A NE Pacific,9/29/2022 13:04:09,NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220929125941.wav,4/24/2023 14:37,Bm,B NE Pacific,9/29/2022 13:04:54,NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220929145211.wav,4/24/2023 14:38,Bm,A NE Pacific,9/29/2022 15:03:13,NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220929145211.wav,4/24/2023 14:38,Bm,B NE Pacific,9/29/2022 15:03:53,NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220929155941.wav,4/24/2023 14:39,Bm,A NE Pacific,9/29/2022 16:07:24,NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220929162211.wav,4/24/2023 14:39,Bm,B NE Pacific,9/29/2022 16:27:26,NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220929164441.wav,4/24/2023 14:40,Bm,B NE Pacific,9/29/2022 17:05:58,NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220929164441.wav,4/24/2023 14:40,Bm,A NE Pacific,9/29/2022 17:06:36,NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220929175211.wav,4/24/2023 14:40,Bm,B NE Pacific,9/29/2022 18:04:49,NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220929175211.wav,4/24/2023 14:40,Bm,A NE Pacific,9/29/2022 18:04:52,NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220929185940.wav,4/24/2023 14:41,Bm,A NE Pacific,9/29/2022 19:04:30,NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220929185940.wav,4/24/2023 14:41,Bm,B NE Pacific,9/29/2022 19:04:37,NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220929194441.wav,4/24/2023 14:41,Bm,B NE Pacific,9/29/2022 20:03:46,NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220929200711.wav,4/24/2023 14:41,Bm,A NE Pacific,9/29/2022 20:23:19,NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220929205211.wav,4/24/2023 14:41,Bm,A NE Pacific,9/29/2022 21:04:41,NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220929205211.wav,4/24/2023 14:42,Bm,B NE Pacific,9/29/2022 21:04:29,NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220929215941.wav,4/24/2023 14:42,Bm,B NE Pacific,9/29/2022 22:04:17,NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220929215941.wav,4/24/2023 14:42,Bm,A NE Pacific,9/29/2022 22:05:20,NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220929230711.wav,4/24/2023 14:42,Bm,A NE Pacific,9/29/2022 23:09:22,NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220929230711.wav,4/24/2023 14:43,Bm,B NE Pacific,9/29/2022 23:10:10,NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220929235211.wav,4/24/2023 14:43,Bm,B NE Pacific,9/30/2022 0:05:29,NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220929235211.wav,4/24/2023 14:43,Bm,A NE Pacific,9/30/2022 0:05:44,NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220930005941.wav,4/24/2023 14:44,Bm,B NE Pacific,9/30/2022 1:19:31,NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220930014441.wav,4/24/2023 14:44,Bm,B NE Pacific,9/30/2022 2:03:49,NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220930031441.wav,4/24/2023 14:44,Bm,B NE Pacific,9/30/2022 3:27:09,NA,NA,NA,NA,NA,NA,NA,"1,B",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220930035941.wav,4/24/2023 14:45,Bm,B NE Pacific,9/30/2022 4:04:24,NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220930044440.wav,4/24/2023 14:45,Bm,A NE Pacific,9/30/2022 4:44:55,NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220930061441.wav,4/24/2023 14:46,Bm,B NE Pacific,9/30/2022 6:20:43,NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220930065941.wav,4/24/2023 14:47,Bm,B NE Pacific,9/30/2022 7:13:53,NA,NA,NA,NA,NA,NA,NA,"1,B",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220930074441.wav,4/24/2023 14:48,Bm,A NE Pacific,9/30/2022 7:46:22,NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220930085211.wav,4/24/2023 14:48,Bm,A NE Pacific,9/30/2022 9:03:38,NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220930085211.wav,4/24/2023 14:48,Bm,B NE Pacific,9/30/2022 9:04:24,NA,NA,NA,NA,NA,NA,NA,"1,B",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220930095941.wav,4/24/2023 14:49,Bm,A NE Pacific,9/30/2022 10:11:42,NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220930095941.wav,4/24/2023 14:49,Bm,B NE Pacific,9/30/2022 10:12:07,NA,NA,NA,NA,NA,NA,NA,"1,B",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220930110710.wav,4/24/2023 14:49,Bm,B NE Pacific,9/30/2022 11:10:28,NA,NA,NA,NA,NA,NA,NA,"2,B",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220930110710.wav,4/24/2023 14:49,Bm,A NE Pacific,9/30/2022 11:09:46,NA,NA,NA,NA,NA,NA,NA,"1,B",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220930115210.wav,4/24/2023 14:50,Bm,A NE Pacific,9/30/2022 12:06:46,NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220930115210.wav,4/24/2023 14:50,Bm,B NE Pacific,9/30/2022 12:05:50,NA,NA,NA,NA,NA,NA,NA,"3,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220930125940.wav,4/24/2023 14:50,Bm,B NE Pacific,9/30/2022 13:02:04,NA,NA,NA,NA,NA,NA,NA,"3,G",NA,NA
